start_time,coinbase_premium_gap,coinbase_premium_gap_usdt_adjusted,coinbase_premium_index,coinbase_premium_index_usdt_adjusted,datetime
1672531200000,-9.86,-19.33331917,-0.05965031,-0.11702835,2023-01-01 00:00:00+00:00
1672534800000,-8.78,-19.68195674,-0.05304665,-0.11899197,2023-01-01 01:00:00+00:00
1672538400000,-9.59,-10.10828931,-0.05795196,-0.06108587,2023-01-01 02:00:00+00:00
1672542000000,-9.74,-12.52978517,-0.05891234,-0.07579912,2023-01-01 03:00:00+00:00
1672545600000,-10.14,-15.50563601,-0.06137327,-0.09387975,2023-01-01 04:00:00+00:00
1672549200000,-9.63,-9.6369429,-0.05825521,-0.05829724,2023-01-01 05:00:00+00:00
1672552800000,-7.62,-9.67027237,-0.04607072,-0.05847397,2023-01-01 06:00:00+00:00
1672556400000,-9.83,-18.50013506,-0.05948134,-0.11200307,2023-01-01 07:00:00+00:00
1672560000000,-9.12,-15.53741419,-0.05522808,-0.09412664,2023-01-01 08:00:00+00:00
1672563600000,-8.46,-11.88681411,-0.05115529,-0.07189118,2023-01-01 09:00:00+00:00
1672567200000,-10.27,-9.45185007,-0.06206061,-0.05711378,2023-01-01 10:00:00+00:00
1672570800000,-9.37,-14.56812897,-0.05659354,-0.08801717,2023-01-01 11:00:00+00:00
1672574400000,-6.37,-18.03518787,-0.03846402,-0.10897873,2023-01-01 12:00:00+00:00
1672578000000,-8.85,-20.1448647,-0.05348065,-0.12181874,2023-01-01 13:00:00+00:00
1672581600000,-8.1,3.47559141,-0.04896349,0.02099481,2023-01-01 14:00:00+00:00
1672585200000,-7.52,-11.11042943,-0.04541411,-0.06711166,2023-01-01 15:00:00+00:00
1672588800000,-9.0,-20.91348304,-0.05433096,-0.12634076,2023-01-01 16:00:00+00:00
1672592400000,-7.75,-14.55114164,-0.04674631,-0.08780531,2023-01-01 17:00:00+00:00
1672596000000,-8.14,-15.95958713,-0.04906014,-0.09623448,2023-01-01 18:00:00+00:00
1672599600000,-6.6,-17.12170386,-0.03975166,-0.10318901,2023-01-01 19:00:00+00:00
1672603200000,-5.27,-10.1718174,-0.03173837,-0.06127745,2023-01-01 20:00:00+00:00
1672606800000,-4.86,-10.58266193,-0.02926533,-0.06374729,2023-01-01 21:00:00+00:00
1672610400000,-4.84,-12.27940997,-0.0291529,-0.07399605,2023-01-01 22:00:00+00:00
1672614000000,-5.17,-9.10733891,-0.03111318,-0.05482117,2023-01-01 23:00:00+00:00
1672617600000,-5.99,16.10601397,-0.03610968,0.09696299,2023-01-02 00:00:00+00:00
1672621200000,-7.03,-2.89238431,-0.04243877,-0.01745641,2023-01-02 01:00:00+00:00
1672624800000,-7.35,-12.09744267,-0.04430954,-0.07295041,2023-01-02 02:00:00+00:00
1672628400000,-5.28,-4.80263542,-0.03168899,-0.02882316,2023-01-02 03:00:00+00:00
1672632000000,-6.04,-10.24678322,-0.0362993,-0.06159687,2023-01-02 04:00:00+00:00
1672635600000,-7.32,-12.46893002,-0.04397035,-0.07492252,2023-01-02 05:00:00+00:00
1672639200000,-7.51,-15.61754392,-0.04512923,-0.09389495,2023-01-02 06:00:00+00:00
1672642800000,-6.84,-7.45116278,-0.04090596,-0.04456259,2023-01-02 07:00:00+00:00
1672646400000,-7.09,-13.72508335,-0.04236956,-0.08205309,2023-01-02 08:00:00+00:00
1672650000000,-5.63,-10.45567355,-0.03367728,-0.06256134,2023-01-02 09:00:00+00:00
1672653600000,-6.89,-16.00171437,-0.04118855,-0.09571065,2023-01-02 10:00:00+00:00
1672657200000,-7.13,-19.60970623,-0.04260504,-0.11726442,2023-01-02 11:00:00+00:00
1672660800000,-6.58,-8.8775396,-0.03935044,-0.05309774,2023-01-02 12:00:00+00:00
1672664400000,-6.14,0.92990543,-0.03677796,0.00556768,2023-01-02 13:00:00+00:00
1672668000000,-5.26,-10.2874746,-0.03149948,-0.06162502,2023-01-02 14:00:00+00:00
1672671600000,-6.07,-13.18959375,-0.03627202,-0.07884956,2023-01-02 15:00:00+00:00
1672675200000,-6.1,-7.54281738,-0.03650316,-0.04514106,2023-01-02 16:00:00+00:00
1672678800000,-7.03,-14.31625158,-0.04205697,-0.08568431,2023-01-02 17:00:00+00:00
1672682400000,-7.29,-11.69638946,-0.04359055,-0.06995697,2023-01-02 18:00:00+00:00
